id,City,Latitude,Longitude,Day_0_temperature,Precipitation_probability_0,Day_1_temperature,Precipitation_probability_1,Day_2_temperature,Precipitation_probability_2,Day_3_temperature,Precipitation_probability_3,Day_4_temperature,Precipitation_probability_4,Day_5_temperature,Precipitation_probability_5,Day_6_temperature,Precipitation_probability_6,Température_moyenne,Température_médiane,amplitude_temp,Proba_précipitation_moyenne,Proba_précipitation_médiane,amplitude_proba_précitpitation
34,La Rochelle,46.1591,-1.152,19.01,1.0,17.93,1,16.74,1.0,17.46,1.0,17.55,1.0,16.66,1.0,15.56,1.0,17.27285714285714,17.46,3.450000000000001,17.27285714285714,17.46,0.0
7,Lille,50.6366,3.0635,16.26,0.97,16.23,1,11.63,1.0,15.39,1.0,14.18,1.0,15.96,0.35,11.13,1.0,14.397142857142857,15.39,5.130000000000001,14.397142857142857,15.39,0.65
0,Mont Saint-Michel,48.636,-1.5115,16.78,1.0,14.84,1,14.25,1.0,17.06,0.21,11.39,1.0,14.87,0.78,16.19,1.0,15.054285714285715,14.87,5.669999999999998,15.054285714285715,14.87,0.79
1,Saint-Malo,48.6495,-2.026,16.95,1.0,15.58,1,14.72,1.0,17.4,0.2,12.12,1.0,14.95,0.8,16.42,1.0,15.44857142857143,15.58,5.279999999999999,15.44857142857143,15.58,0.8
4,Rouen,49.4405,1.094,17.89,1.0,14.67,1,14.4,1.0,16.46,0.8,11.37,1.0,14.1,0.2,14.03,1.0,14.702857142857143,14.4,6.520000000000001,14.702857142857143,14.4,0.8
2,Bayeux,49.2765,-0.7025,17.02,1.0,15.5,1,13.09,1.0,16.63,1.0,10.34,1.0,15.13,0.2,15.07,1.0,14.682857142857143,15.13,6.68,14.682857142857143,15.13,0.8
3,Le Havre,49.4939,0.108,17.0,1.0,14.79,1,14.28,1.0,15.85,1.0,11.88,1.0,15.29,0.2,13.29,1.0,14.625714285714285,14.79,5.119999999999999,14.625714285714285,14.79,0.8
6,Amiens,49.8942,2.2957,17.4,1.0,17.18,1,12.05,1.0,15.83,1.0,11.83,1.0,15.63,0.2,11.99,1.0,14.558571428571426,15.63,5.5699999999999985,14.558571428571426,15.63,0.8
27,Collioure,42.525,3.0832,23.77,0.43,20.82,1,15.52,1.0,20.37,0.0,23.32,1.0,16.64,1.0,19.96,0.0,20.057142857142857,20.37,8.25,20.057142857142857,20.37,1.0
20,Marseille,43.2962,5.37,22.05,1.0,19.01,1,18.09,0.86,18.71,0.0,20.86,0.87,18.98,1.0,16.2,1.0,19.12857142857143,18.98,5.850000000000001,19.12857142857143,18.98,1.0
